,Enviro-PRD-PMG-Auxi Filters
,Enviro-PRD-SBG-ESP
,C&W-WWS-IPG-Oprtns-Planning
,C&H-Cooling-Oprtns-OEG
,Power-MPP-Engg-Detail Engg-Mechanical-Process
,TIL-MPP-Engg-Detail Engg-Electrical
,EI-PAFC-Oprtns-Prdn
,Power-MPP-Mktg
,C&H-Heating-Product-Maintenance
,Power-LPP-Engg-Instru&Control
,Enviro-EPC-P&E-Proposal Projects
,SolarCorporate-Corporate
,Enviro-PRD-PMG-Process Filters
,C&H-Services-Sales&Proposals-Intl Sales
,C&H-Heating-Project-Sales Mktg&Prod Dev-West
,Enviro-INO
,CMG-South&East-TN&Kerala
,CMG-Fin&Com
,Enviro-EPC-Construction
,Enviro-INO-QAC-Boughtout
,Power-MPP-Engg-Proposal Engg
,Enviro-International Sales
,Enviro-PRD-PDG-ESP
,Enviro-PRD-PDG-Filters
,Enviro-Sourcing-ESP
,C&H-Cooling-Quality-PA&Maint-Maint
,Enviro-Domestic Sales-West
,Enviro-INO-Innovation
,C&W-WWS-Prdt-Prdt Mgmt
,C&H-Heating-FM&GS-FMG&Site Safety-FMG-Maint-Utility Maint
,C&W-Chemical-PPG&OFC-Sales-South
,Enviro-Sourcing-Electrical
,C&H-Heating-Project-Construction-South
,C&H-Heating-FM&GS-FMG&Site Safety-FMG-Maint-Preventive Maint
,C&H-Services-Oprtns-Materl-COBR
,CMG-South&East-West Bengal&North East
,B&H-Oil/Gas&WH-Oprtns-E&I Engg
,C&H-Services-Sales-Steam Engg
,Enviro-EPC-PMG
,C&W-WWS-Exports&Recycling
,C&H-Services-South
,C&W-WWS-IPG-Sales-PSU
,Enviro-PRD-SBG
,C&H-Heating-FM&GS-Global Sourcing-Vendor Mgmt
,"Corporate Fin-Treasury,Itnl&OSM-Treasury-Forex"
,B&H-Services-Oprtns-Procure
,CMG-North&West-Gujarat
,C&H-Services-Oprtns-O&M-HO&West
,C&W-WWS-Municipal&Lrg Projects
,C&W-Chemical-Resin&Membrane-Sales-Special Resin
,C&H-Heating-Product-Sales Mktg&Prod Dev-South
,C&W-SSG-Engg&Proposals
,Power-MPP-Oprtns-Procure-Group4 Bought Out
,C&H-Services-Oprtns-Materl-Steam Engg
,B&H-Solid Fuel-Oprtns-Mechanical Engg-TEDC
,C&W-SSG-Sales-Spares
,MD's office-Corporate-Opex
,Power-MPP-Sales-Domestic Sales
,"C&H-Services-Oprtns-Engg-FEMS Propsl-North,West"
,Corporate Social Responsibility-Corporate
,Power-MPP-Engg-Detail Engg-Kolkatta
,C&H-Services-Oprtns-Materl-TCA
,C&W-SSG-Techno
,C&W-WWS-Intgrtd Ser-Application Knowledge/Inovtn-Water
,B&H-Corporate Functions-Mfg
,TIL-MPP-Oprtns-Commissioning
,Power-MPP-Engg-Detail Engg-Mechanical-Piping&Layout
,C&W-WWS-Municipal&Lrg Projects-Oprtns-Commercial
,TIL-LPP-Oprtns-Construct-Subcontarcting
,Power-SPP-EPC-Projects
,Corporate Fin-BTG-Applications Prdt
,RTIC-Technology Development Center-Water Gr
,Power-LPP-Com
,C&W-Chemical-PPG&OFC-Sales-North
,Enviro-INO-QAC
,C&W-WWS-Prdt
,TIL-MPP-Oprtns-Projects-Planning
,CMG-North&West
,TIL-MPP-Oprtns-Construct-SubContarcting
,Power-SPP-EPC-Engg&Proposal
,Power-LPP-Engg-Mechanical
,CMG-North&West-ROMH
,"HR,IR,Admin-HR-C&W"
,B&H-Utility-Corporate
,CFSS-East-Corporate
,Power-SPP-EPC-Procure
,TIL-LPP-Oprtns-Construct-HO Coordination
,Power-O&M-Operations-Business Development
,"HR,IR,Admin-HR-B&H-Savli"
,Enviro-Manufacturing-Filters
,Power-MPP-Engg-Detail Engg-C&I
,Enviro-PRD-SBG-Filters
,C&H-Heating-Project-Engg-E&I
,C&H-Services-South-Sales-Steam Engg
,CMG-South&East-Karnataka
,C&H-Services-South-Heating
,C&H-Heating-Global Innovation&Emerging Business-Growth
,C&H-Services-Oprtns-QC
,Power-MPP-Oprtns
,Enviro-PRD-PMG-ESP
,Power-LPP-Quality Assurnace&Control
,RTIC-SPG-Intellectual Property Rights
,Enviro-Manufacturing
,TIL-LPP-Engg-Detail Engg-C&I
,Power-MPP-Engg-Detail Engg-Mechanical
,Power-MPP-Oprtns-Procure-Group2 E&I
,C&H-Heating-Project-Procure-Savli
,CMG-West
,Power-MPP-Oprtns-Construct-HO Coordination-Site Mgmt
,Power-SPP-EPC-Site
,C&H-Cooling-Dom Sales-East
,Power-MPP-Oprtns-Construct-Sub Contracting
,"C&H-Services-Engin-Propsl-East,West"
,B&H-Oil/Gas&WH-Oprtns-Procure(Savli)
,B&H-Utility-Oprtns-E&I Engg
,Enviro-EPC-P&E-Design R&R
,C&H-Cooling-Intl Sales-Saudi Arabia
,C&H-Heating-Product-Material-Coil
,Enviro-PRD-PEG-Process Filters
,Corp Communication-Communication
,C&H-Cooling-Oprtns-OEG-Planning
,C&H-Cooling-Tech Ser-East
,C&W-SSG-PMS-O&M-Service-West
,C&W-SSG-PMS-O&M-Service-East
,Power-MPP-BPMO
,Power-MPP-Oprtns-Projects-Group1
,Power-MPP-Oprtns-Projects-Planning
,"HR,IR,Admin-HR-L&D"
,Power-O&M-Operations-Site Execution
,CFSS-West-Fin
,C&H-Cooling-Tech Ser-South
,RTIC-COE-Advanced Computing Center
,C&H-Heating-Project-Savli Facility-Prdn-QAC
,B&H-UOG-Mktg
,Power-LPP-Engg-Proposal
,Corporate HSE-Corporate
,C&W-Chemical-Pulp&Paper-Sales-West
,Power-MPP-Engg-Detail Engg-Civil
,Chemical&Water-Corporate
